Title,Price,Depreciation/Yr,Registration Date,Engine Capacity,Mileage/Km,Vehicle Type
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,"$49,888","$15,650 /yr",22-Sep-2016,"1,560 cc",-,MPV
BMW X4 xDrive20i M-Sport Sunroof,"$97,988","$25,540 /yr",28-Oct-2016,"1,997 cc",-,SUV
Mercedes-Benz GLA-Class GLA180 Urban Edition,"$91,888","$18,700 /yr",15-Jan-2018,"1,595 cc","70,000 km",SUV
BMW 5 Series 520d M-Sport,"$131,888","$22,830 /yr",30-Dec-2017,"1,995 cc","92,000 km",Luxury
Nissan Note 1.2A,"$53,800","$10,960 /yr",29-Aug-2018,"1,198 cc","90,000 km",Hatchback
Mazda 3 1.5A Deluxe Sunroof,"$53,800","$14,730 /yr",24-Feb-2017,"1,496 cc","85,000 km",Sedan
BMW 3 Series 335i Coupe Sunroof (COE till 04/2028),"$71,888","$16,670 /yr",16-Apr-2008,"2,979 cc","116,800 km",Sports
Toyota Wish 1.8A X,"$61,800","$15,100 /yr",24-May-2017,"1,797 cc","81,000 km",MPV
Toyota Vellfire 2.5A Elegance Moonroof,"$198,800","$32,530 /yr",05-Mar-2019,"2,494 cc","65,488 km",MPV
BMW 4 Series 428i Coupe Sunroof,"$62,988","$27,830 /yr",08-May-2015,"1,997 cc","93,301 km",Sports
Mercedes-Benz CLA-Class CLA200 Progressive,"$155,800","$21,650 /yr",09-Mar-2020,"1,332 cc","48,000 km",Luxury
Kia Carens Diesel 1.7A SX,"$74,800","$13,900 /yr",12-Jul-2018,"1,685 cc","120,000 km",MPV
Toyota Vios 1.5A E,"$78,800","$14,450 /yr",14-Dec-2018,"1,496 cc","48,529 km",Sedan
Toyota Vellfire 2.5A Elegance Sunroof,"$132,800","$29,890 /yr",29-Jun-2017,"2,494 cc","113,000 km",MPV
BMW 2 Series 216i Active Tourer,"$99,800","$16,870 /yr",27-Nov-2018,"1,499 cc","101,950 km",Hatchback
Mazda Biante 2.0A,"$71,800","$17,110 /yr",11-Jul-2017,"1,998 cc","83,000 km",MPV
Opel Astra 1.4A Turbo Innovation,"$122,888","$15,630 /yr",28-Jul-2021,"1,341 cc",-,Hatchback
Nissan Note 1.2A,"$60,500","$12,320 /yr",08-Sep-2018,"1,198 cc","89,133 km",Hatchback
Audi Q5 2.0A TFSI Quattro,"$92,800","$24,160 /yr",30-Nov-2016,"1,984 cc","83,000 km",SUV
Toyota Camry 2.0A (COE till 04/2029),"$61,888","$11,560 /yr",16-Jul-2009,"1,998 cc","150,000 km",Luxury
Mazda 3 1.5A Sunroof,"$45,800","$15,130 /yr",16-Aug-2016,"1,496 cc",-,Sedan
Mercedes-Benz A-Class A200 Style,"$79,800","$17,380 /yr",05-Dec-2017,"1,595 cc","116,000 km",Hatchback
Subaru Forester 2.0i-L EyeSight Sunroof,"$102,000","$16,260 /yr",11-Sep-2019,"1,995 cc","135,700 km",SUV
Mercedes-Benz GLA-Class GLA180 Urban Edition,"$134,800","$17,900 /yr",17-Sep-2020,"1,595 cc","45,000 km",SUV
Mazda 3 1.5A,"$24,800","$14,750 /yr",29-Jun-2015,"1,496 cc","83,000 km",Sedan
Mazda 6 2.0A Executive,"$76,988","$15,700 /yr",20-Feb-2018,"1,998 cc","74,968 km",Luxury
Mercedes-Benz E-Class E200 Avantgarde,"$153,800","$23,840 /yr",19-Dec-2018,"1,991 cc","98,000 km",Luxury
Citroen Grand C4 Picasso 1.2A PureTech,"$81,800","$14,780 /yr",14-Sep-2018,"1,199 cc","83,000 km",MPV
Suzuki Vitara 1.6A GLX,"$57,800","$14,940 /yr",14-Jun-2017,"1,586 cc","42,200 km",SUV
Rolls-Royce Cullinan 6.75A,"$1,688,888","$169,670 /yr",02-Nov-2021,"6,749 cc","16,000 km",SUV
Bentley Continental GT 4.0A V8,"$900,800","$87,530 /yr",28-Feb-2022,"3,996 cc","4,800 km",Sports
Mercedes-Benz A-Class A180 Style,"$71,800","$18,030 /yr",02-Jun-2017,"1,595 cc","89,000 km",Hatchback
Mazda CX-3 2.0A Deluxe,"$76,777","$13,540 /yr",31-Oct-2018,"1,998 cc","85,000 km",SUV
Audi Q5 Sportback Mild Hybrid 2.0 TFSI Quattro S-tronic Advance,"$270,800","$25,460 /yr",15-Jun-2023,"1,984 cc","2,000 km",SUV
Honda Vezel 1.5A X,"$27,800","$14,720 /yr",31-Jul-2015,"1,496 cc","98,000 km",SUV
Hyundai Ioniq Electric Sunroof,"$98,888","$18,690 /yr",23-Aug-2018,-,"96,000 km",Hatchback
Mercedes-Benz CLA-Class CLA180 AMG Line Premium Plus Sunroof,"$199,800","$19,720 /yr",27-Sep-2022,"1,332 cc","22,000 km",Luxury
Kia Cerato K3 1.6A Sunroof,"$57,777","$12,810 /yr",15-Nov-2017,"1,591 cc",-,Sedan
Porsche Cayenne 3.0A Tip,"$263,800","$40,910 /yr",08-Nov-2018,"2,995 cc","43,000 km",SUV
Audi A5 Sportback 2.0A TFSI S-tronic Design,"$129,800","$20,350 /yr",28-Mar-2019,"1,984 cc","105,000 km",Luxury
Honda Civic 1.8A VTI (COE till 12/2027),"$49,777","$12,380 /yr",11-Jan-2008,"1,799 cc",-,Sedan
Mazda 6 2.0A,"$44,800","$15,840 /yr",26-Feb-2016,"1,998 cc",-,Luxury
Mercedes-Benz G-Class G400d AMG Line Premium,"$650,000","$67,210 /yr",26-Mar-2022,"2,925 cc","13,577 km",SUV
Toyota Corolla Altis 1.6A,"$39,800","$15,510 /yr",30-Nov-2015,"1,598 cc","93,398 km",Sedan
Suzuki SX4 HB 1.6A (COE till 12/2025),"$23,800","$11,770 /yr",11-Jan-2011,"1,586 cc","150,000 km",Hatchback
BMW M850i Coupe xDrive,"$385,000","$52,500 /yr",22-Aug-2019,"4,395 cc","17,000 km",Sports
Mercedes-Benz A-Class A180 Style,"$77,800","$17,930 /yr",09-Oct-2017,"1,595 cc","66,000 km",Hatchback
Hyundai Elantra 1.6A (COE till 03/2027),"$44,998","$13,790 /yr",30-Mar-2012,"1,591 cc",-,Sedan
Honda Vezel 1.5A S,"$36,500","$15,870 /yr",09-Oct-2015,"1,496 cc","83,000 km",SUV
BMW X3 sDrive20i,"$153,800","$23,820 /yr",30-Apr-2019,"1,998 cc","65,000 km",SUV
Mazda 3 1.5A Deluxe Sunroof,"$33,800","$13,070 /yr",28-Jan-2016,"1,496 cc","90,000 km",Sedan
Mitsubishi Triton L200 Double-Cab 2.5M (COE till 11/2028),"$53,800","$10,990 /yr",14-Nov-2008,"2,477 cc",-,Truck
Nissan Murano 2.5A Sunroof (COE till 09/2028),"$55,800","$11,710 /yr",29-Sep-2008,"2,488 cc",-,SUV
Hyundai Tucson 1.6A GLS DCT Turbo Sunroof,"$109,800","$18,880 /yr",23-Feb-2019,"1,591 cc","97,500 km",SUV
Ford Focus 1.0A GTDI Titanium,"$51,800","$11,860 /yr",28-Sep-2017,999 cc,"103,000 km",Sedan
BMW 3 Series 318i Sport,"$54,800","$17,300 /yr",26-Apr-2016,"1,499 cc","79,000 km",Luxury
BMW 2 Series 216i Gran Tourer,"$91,800","$17,970 /yr",09-Feb-2018,"1,499 cc","71,558 km",MPV
Mercedes-Benz C-Class C180 Avantgarde,"$58,800","$20,690 /yr",10-Dec-2015,"1,595 cc","87,058 km",Luxury
Honda Vezel 1.5A X (OPC),"$74,999","$13,630 /yr",02-Jan-2019,"1,496 cc","33,000 km",SUV
Mercedes-Benz E-Class E200 Exclusive,"$97,988","$22,920 /yr",26-Sep-2016,"1,991 cc",-,Luxury
Honda City 1.5A SV,"$59,800","$13,630 /yr",14-Dec-2017,"1,497 cc","95,000 km",Sedan
Hyundai Tucson Hybrid 1.6A GLS T-GDi DCT Turbo S Sunroof,"$193,800","$20,550 /yr",15-Nov-2022,"1,598 cc","16,500 km",SUV
Nissan NV350 2.5M,"$48,800","$10,240 /yr",28-Sep-2018,"2,488 cc","97,127 km",Van
Toyota Dyna 150 3.0M,"$54,800","$16,130 /yr",18-May-2017,"2,982 cc",-,Truck
Citroen C4 Picasso Diesel 1.6A BlueHDi,"$39,800","$14,500 /yr",26-May-2016,"1,560 cc","77,000 km",Hatchback
Mitsubishi Triton L200 Double-Cab 2.5M (COE till 09/2031),"$78,800","$10,140 /yr",24-Apr-2012,"2,477 cc",-,Truck
BMW 5 Series 520i,"$42,800","$23,360 /yr",30-Sep-2014,"1,997 cc","93,000 km",Luxury
Honda N-Van Turbo Style Fun Honda Sensing,"$88,888","$9,030 /yr",27-Oct-2023,658 cc,-,Van
Toyota Alphard Hybrid 2.5A,"$389,888","$34,110 /yr",31-Oct-2023,"2,487 cc",15 km,MPV
Honda Vezel Hybrid 1.5A,"$122,800","$15,130 /yr",28-Sep-2021,"1,496 cc",-,SUV
Hyundai Santa Fe 2.4A GDI Sunroof,"$125,800","$20,920 /yr",19-Dec-2018,"2,359 cc","95,000 km",SUV
Toyota Vios 1.5A E,"$95,800","$13,540 /yr",17-Jul-2020,"1,496 cc","66,074 km",Sedan
Infiniti Q50 2.0A T Sensory With ProActive,"$105,800","$16,830 /yr",31-Jan-2019,"1,991 cc","86,750 km",Luxury
Porsche Macan S 3.0A PDK,"$129,800","$36,660 /yr",12-Feb-2016,"2,997 cc","87,000 km",SUV
BMW X1 sDrive16i xLine,"$213,888","$20,350 /yr",31-May-2023,"1,499 cc",900 km,SUV
Toyota Wish 1.8A X,"$70,000","$19,050 /yr",15-Feb-2017,"1,797 cc","77,000 km",MPV
Toyota Noah Hybrid 1.8A X,"$207,888","$20,690 /yr",13-Sep-2023,"1,797 cc",27 km,MPV
Isuzu NHR85A,"$30,800","$17,480 /yr",28-Sep-2015,"2,999 cc","152,638 km",Truck
Mercedes-Benz E-Class E200 Mild Hybrid AMG Line,"$281,888","$25,270 /yr",30-Aug-2023,"1,991 cc",34 km,Luxury
Mitsubishi Fuso Canter FEB21 (New 5-yr COE),"$67,800","$13,550 /yr",25-Nov-2014,"2,998 cc",-,Truck
Jaguar F-PACE 3.0A V6 Supercharged Prestige,"$106,800","$23,170 /yr",12-Oct-2016,"2,995 cc","80,000 km",SUV
Honda Stream 1.8A Sunroof (COE till 08/2027),"$49,998","$13,730 /yr",15-Aug-2007,"1,799 cc",-,MPV
Bentley Continental GT 4.0A V8 S,"$1,750,000","$143,610 /yr",31-Jul-2023,"3,993 cc",47 km,Sports
Volkswagen Passat 1.8A TFSI,"$81,588","$14,730 /yr",16-Jul-2018,"1,798 cc",-,Luxury
Mercedes-Benz G-Class G63 AMG,"$957,888","$85,460 /yr",30-Jun-2023,"3,982 cc",66 km,SUV
Volkswagen Beetle 1.4A TSI Sunroof,"$36,500","$17,200 /yr",25-May-2015,"1,390 cc","70,591 km",Hatchback
Ford Ranger Double-Cab 3.2A XLT,"$133,800","$24,280 /yr",27-Jun-2019,"3,198 cc","69,281 km",Truck
BMW 3 Series 316i,"$78,800",N.A,27-Jan-2014,"1,598 cc","28,000 km",Luxury
Honda Vezel 1.5A X,"$45,000","$17,980 /yr",15-Mar-2016,"1,496 cc",-,SUV
Porsche Cayenne 3.0A Tip,"$359,800","$44,450 /yr",01-Sep-2020,"2,995 cc","22,000 km",SUV
Toyota Harrier 2.0A Premium Panoramic Roof,"$77,800","$18,310 /yr",19-May-2017,"1,986 cc","71,000 km",SUV
Toyota Corolla Altis Hybrid 1.8A Elegance,"$127,800","$17,440 /yr",27-Aug-2020,"1,798 cc","50,000 km",Sedan
Mercedes-Benz CLA-Class CLA180 Shooting Brake,"$55,800","$19,420 /yr",03-Feb-2016,"1,595 cc","89,888 km",Stationwagon
Mercedes-Benz C-Class C180 Avantgarde,"$152,800","$20,930 /yr",05-Apr-2020,"1,595 cc","78,066 km",Luxury
BMW 6 Series 640i Gran Coupe M-Sport Sunroof,"$128,800","$28,570 /yr",05-Oct-2016,"2,979 cc","59,000 km",Luxury
BMW 4 Series 420i Coupe M-Sport,"$249,800","$23,400 /yr",10-Apr-2023,"1,998 cc","12,500 km",Sports
Mitsubishi Fuso FK61 (COE till 10/2030),"$92,800","$13,530 /yr",03-Dec-2010,"7,545 cc",-,Truck
Toyota Alphard 2.5A Elegance Sunroof,"$92,800","$33,800 /yr",26-Nov-2015,"2,494 cc",-,MPV
Toyota Alphard 2.5A S Moonroof,"$155,000","$30,640 /yr",24-Apr-2018,"2,493 cc","61,000 km",MPV
Toyota Dyna 150 3.0M,"$46,800","$17,570 /yr",23-Aug-2016,"2,982 cc",-,Truck
Audi A3 Sportback Mild Hybrid 1.0A TFSI S-tronic,"$180,888","$17,790 /yr",20-Sep-2023,999 cc,50 km,Hatchback
BMW 1 Series 116d,"$89,800","$16,690 /yr",31-May-2018,"1,496 cc","118,997 km",Hatchback
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,"$181,800","$17,790 /yr",24-Sep-2023,"1,496 cc",27 km,SUV
Toyota Hiace 2.8A DX,"$73,800","$13,220 /yr",24-Jul-2019,"2,754 cc",-,Van
Porsche 981 Cayman 2.7A PDK (New 10-yr COE),"$260,000","$25,980 /yr",11-Mar-2014,"2,706 cc","106,000 km",Sports
Kia Stonic 1.0T,"$78,800","$14,370 /yr",18-Mar-2019,998 cc,"46,388 km",SUV
BMW M4 Coupe Competition,"$429,800","$42,750 /yr",11-Mar-2022,"2,993 cc","33,000 km",Sports
Lexus NX Turbo NX200t Luxury Sunroof,"$73,800","$27,060 /yr",21-Aug-2015,"1,998 cc","112,000 km",SUV
Toyota Vellfire 2.5A Z G-Edition Moonroof,"$205,888","$32,120 /yr",25-Jun-2019,"2,493 cc","60,000 km",MPV
Toyota Dyna 150 3.0M,"$65,800","$16,800 /yr",24-Nov-2017,"2,982 cc","103,212 km",Truck
Mazda CX-3 2.0A,"$57,800","$16,810 /yr",27-Sep-2016,"1,998 cc","81,000 km",SUV
Mercedes-Benz C-Class C180 Exclusive,"$67,800","$23,690 /yr",15-Jan-2016,"1,595 cc","76,000 km",Luxury
BMW 1 Series 1M Coupe (COE till 04/2031),"$188,500","$25,630 /yr",27-May-2011,"2,979 cc","105,000 km",Sports
Honda Vezel 1.5A X,"$96,800","$14,510 /yr",12-Feb-2020,"1,496 cc","61,000 km",SUV
Audi A3 Sedan 1.0A TFSI S-tronic,"$180,888","$17,390 /yr",05-Dec-2023,999 cc,40 km,Luxury
Toyota Prius Hybrid 1.8A,"$63,800","$18,570 /yr",13-Apr-2017,"1,798 cc","75,000 km",Hatchback
BYD e6 Electric,"$132,500","$15,630 /yr",15-Jun-2022,-,"39,000 km",Hatchback
Toyota Dyna 150 3.0A,"$105,800","$18,940 /yr",25-Jul-2019,"2,982 cc",-,Truck
Fiat Doblo Cargo Maxi 1.6M Multijet Glaze,"$22,800","$9,370 /yr",31-May-2016,"1,598 cc",-,Van
Toyota Hiace 3.0M DX,"$47,800","$14,910 /yr",09-Mar-2017,"2,982 cc","109,300 km",Van
BMW 3 Series 328i (COE till 02/2032),"$149,888","$18,300 /yr",28-Jun-2012,"1,997 cc","122,000 km",Luxury
Mazda 6 2.5A Sunroof,"$57,800","$15,790 /yr",29-Aug-2016,"2,488 cc","119,000 km",Luxury
Nissan NV200 1.6A DX,"$44,800","$11,900 /yr",29-Sep-2017,"1,597 cc",-,Van
Nissan Sylphy 1.6A,"$31,800","$13,530 /yr",21-Sep-2015,"1,598 cc","106,000 km",Sedan
BMW i7 Electric xDrive60 M-Sport,"$653,800","$55,860 /yr",27-Mar-2023,-,"3,500 km",Luxury
BMW X5 xDrive40i M-Sport,"$387,800","$35,840 /yr",16-Nov-2022,"2,998 cc","12,299 km",SUV
Toyota Alphard Hybrid 2.5A Elegance,"$348,800","$32,660 /yr",29-May-2023,"2,494 cc",20 km,MPV
Toyota Hiace Commuter 3.0A,"$140,800","$15,710 /yr",08-Dec-2022,"2,982 cc","5,500 km",Bus
Mercedes-Benz C-Class C43 AMG 4MATIC,"$169,800","$30,710 /yr",11-Dec-2017,"2,996 cc","55,000 km",Luxury
Mercedes-Benz A-Class A45 AMG 4MATIC (COE till 10/2033),"$200,888","$20,370 /yr",02-Jan-2014,"1,991 cc","96,000 km",Sports
Mercedes-Benz C-Class C200 Mild Hybrid AMG Line,"$271,800","$25,460 /yr",30-Aug-2023,"1,496 cc",34 km,Luxury
Audi A5 Sportback 2.0A TFSI Quattro S-Line (COE till 03/2030),"$90,800","$14,630 /yr",08-Mar-2010,"1,984 cc","133,800 km",Luxury
Rolls-Royce Cullinan 6.75A Black Badge,"$2,398,000","$199,570 /yr",14-Jul-2023,"6,749 cc",102 km,SUV
Honda Jazz 1.5A RS,"$58,800","$15,320 /yr",07-Jun-2017,"1,498 cc","54,332 km",Hatchback
BYD T3 Electric,"$104,800","$11,300 /yr",31-Mar-2023,-,-,Van
Honda Jazz 1.3A,"$80,800","$13,140 /yr",19-Nov-2019,"1,318 cc","51,000 km",Hatchback
Nissan Note 1.2A (OPC),"$71,988","$11,110 /yr",25-Mar-2020,"1,198 cc","13,500 km",Hatchback
Honda City 1.5A RS i-VTEC LX,"$116,800","$14,490 /yr",20-May-2021,"1,498 cc","43,800 km",Sedan
Toyota Camry 2.0A,"$55,800","$18,540 /yr",01-Mar-2016,"1,998 cc","118,095 km",Luxury
Audi A5 Sportback 2.0A TFSI S-tronic Design (OPC),"$138,800","$19,240 /yr",30-Dec-2019,"1,984 cc","31,229 km",Luxury
Toyota Sienta Hybrid 1.5A X,"$115,800","$15,890 /yr",29-Sep-2020,"1,496 cc","50,208 km",MPV
Honda Vezel 1.5A G,"$137,800","$15,880 /yr",24-May-2022,"1,496 cc","42,000 km",SUV
Toyota Aygo 1.0A,"$9,555","$10,770 /yr",20-Aug-2014,998 cc,"45,415 km",Sedan
Infiniti QX50 2.0A VC-T Sensory ProACTIVE,"$135,988","$21,120 /yr",29-Mar-2019,"1,997 cc","42,000 km",SUV
Nissan Qashqai 1.2A DIG-T,"$47,988","$13,870 /yr",12-Dec-2016,"1,197 cc","127,500 km",SUV
Toyota Dyna 150 3.0M,"$56,000","$16,980 /yr",12-Apr-2017,"2,982 cc","276,000 km",Truck
Toyota Wish 1.8A X,"$38,988","$18,610 /yr",14-Aug-2015,"1,797 cc","110,000 km",MPV
Toyota Dyna 150 3.0M,"$57,800","$16,480 /yr",27-Jun-2017,"2,982 cc","102,000 km",Truck
Mercedes-Benz GLB-Class GLB180 Progressive,"$227,800","$21,550 /yr",10-Jul-2023,"1,332 cc","4,000 km",SUV
Toyota Hiace 3.0M,"$63,800","$13,130 /yr",01-Nov-2018,"2,982 cc",-,Van
Toyota RegiusAce 2.8A,"$81,800","$13,930 /yr",07-Nov-2019,"2,754 cc",-,Van
Volvo V40 T4 Momentum,"$102,999","$16,520 /yr",28-Jun-2019,"1,969 cc","69,500 km",Hatchback
Mazda 3 1.5A Deluxe Sunroof,"$68,988","$14,220 /yr",09-Mar-2018,"1,496 cc","84,500 km",Sedan
Nissan NV200 1.6A DX,"$66,188","$9,620 /yr",09-Nov-2020,"1,597 cc","50,300 km",Van
Honda Jazz 1.5A,"$100,800","$14,130 /yr",17-Jun-2020,"1,498 cc",-,Hatchback
Volvo XC60 T5 2.0A,"$39,988","$19,590 /yr",24-Feb-2015,"1,969 cc","118,000 km",SUV
Toyota Hiace 3.0A High Roof (COE till 05/2029),"$76,800","$14,120 /yr",18-Jan-2010,"2,982 cc",-,Bus
Mazda 6 2.0A Executive,"$61,988","$16,270 /yr",13-Jan-2017,"1,998 cc","100,500 km",Luxury
Honda City 1.5A V,"$85,500","$13,270 /yr",22-Oct-2019,"1,497 cc","58,000 km",Sedan
Volkswagen Jetta GP 1.4A TSI,"$35,988","$13,210 /yr",21-Dec-2015,"1,390 cc","123,800 km",Sedan
Toyota Vellfire 2.4A Z Moonroof,"$52,988","$28,640 /yr",30-Jan-2015,"2,362 cc",-,MPV
BMW X3 xDrive20i (New 10-yr COE),"$165,800","$16,570 /yr",28-Feb-2014,"1,997 cc","122,000 km",SUV
Toyota Wish 1.8A Elegance,"$62,800","$17,620 /yr",23-Dec-2016,"1,798 cc","101,958 km",MPV
Mercedes-Benz C-Class C63 S AMG,"$238,800","$43,460 /yr",14-Jul-2017,"3,982 cc","63,439 km",Sports
Volkswagen Sharan 2.0A TSI Sunroof,"$152,988","$19,670 /yr",30-Sep-2020,"1,984 cc","82,000 km",MPV
Volkswagen Golf R 5DR Sunroof,"$117,800","$29,490 /yr",27-Feb-2017,"1,984 cc","66,362 km",Sports
Opel Astra 1.4A Turbo,"$77,800","$13,020 /yr",08-Mar-2019,"1,399 cc","90,600 km",Hatchback
DFSK EC35 Electric,"$105,800","$11,410 /yr",31-Mar-2023,-,-,Van
Rolls-Royce Silver Shadow 6.75A (COE till 10/2028),"$125,000","$25,860 /yr",23-Oct-2018,"6,750 cc","84,000 km",Luxury
Toyota Rush 1.5A (COE till 03/2024),"$4,588",N.A,14-Apr-2009,"1,495 cc",-,SUV
BMW 3 Series 325i Coupe XL (COE till 01/2029),"$56,800","$11,190 /yr",20-Jan-2009,"2,497 cc",-,Sports
Mercedes-Benz A-Class A180 Style,"$81,800","$18,650 /yr",13-Nov-2017,"1,595 cc",-,Hatchback
Audi A3 Sportback 1.0A TFSI S-tronic,"$81,388","$15,990 /yr",05-Apr-2018,999 cc,"83,000 km",Hatchback
Honda Freed Hybrid 1.5A G,"$94,988","$17,110 /yr",06-Dec-2018,"1,496 cc","86,300 km",MPV
Mercedes-Benz E-Class E350e Plug-in Hybrid Avantgarde,"$169,888","$24,970 /yr",12-Dec-2018,"1,991 cc","73,183 km",Luxury
MINI Cooper S 1.6A Sunroof (COE till 10/2029),"$61,988","$10,600 /yr",28-Oct-2009,"1,598 cc","170,000 km",Sports
Toyota Dyna 100 3.0M (COE till 06/2027),"$35,800","$10,270 /yr",19-Jun-2007,"2,982 cc","160,500 km",Truck
Volkswagen Golf 1.4A TSI Highline Sunroof,"$89,988","$16,100 /yr",28-Sep-2018,"1,395 cc","52,500 km",Hatchback
Honda Odyssey 2.4A EXV-S Sunroof,"$136,800","$23,050 /yr",18-Feb-2019,"2,356 cc","92,000 km",MPV
Nissan NV200 1.6A,"$61,988","$9,910 /yr",25-Mar-2020,"1,598 cc",-,Van
Kia Cerato K3 1.6A EX,"$25,388","$16,700 /yr",18-Mar-2015,"1,591 cc","121,000 km",Sedan
Toyota Estima 2.4A Aeras Sunroof,"$122,800","$26,110 /yr",07-Nov-2017,"2,362 cc","87,280 km",MPV
Mercedes-Benz EQC Electric EQC400 4MATIC Sport,"$289,888","$33,360 /yr",29-Oct-2021,-,"29,000 km",SUV
Toyota C-HR Hybrid 1.8A S,"$94,800","$16,420 /yr",15-Jan-2019,"1,797 cc","50,000 km",SUV
Mitsubishi Attrage 1.2A,"$69,988","$11,720 /yr",25-Sep-2019,"1,193 cc","50,500 km",Sedan
Toyota Hiace 2.8A DX,"$79,800","$14,640 /yr",06-Jun-2019,"2,754 cc","75,627 km",Van
Audi A4 1.4A TFSI S-tronic,"$83,988","$18,180 /yr",01-Nov-2017,"1,395 cc","123,000 km",Luxury
Audi Q3 1.4A TFSI S-Tronic,"$151,000","$19,800 /yr",27-Oct-2020,"1,395 cc","30,500 km",SUV
Mercedes-Benz C-Class C200 Coupe AMG Line Sunroof,"$107,988","$23,530 /yr",09-May-2017,"1,991 cc","93,000 km",Sports
Kia Cerato K3 1.6A Sunroof,"$62,388","$14,060 /yr",10-Nov-2017,"1,591 cc",-,Sedan
Kia Cerato K3 1.6A SX,"$43,988","$14,210 /yr",28-Jun-2016,"1,591 cc","108,200 km",Sedan
MINI John Cooper Works GP 2.0A,"$177,888","$21,040 /yr",20-Jan-2021,"1,998 cc","29,000 km",Sports
Mercedes-Benz A-Class Saloon A180 Progressive,"$175,888","$17,490 /yr",30-Nov-2022,"1,332 cc","9,888 km",Luxury
Audi A3 Sedan 1.4A TFSI CoD S-tronic,"$99,988","$17,660 /yr",07-Dec-2018,"1,395 cc","96,000 km",Luxury
Nissan X-Trail 2.0A 7-Seater Sunroof,"$61,988","$16,740 /yr",13-Dec-2016,"1,997 cc","81,100 km",SUV
Toyota Hiace 3.0M,"$82,800","$11,960 /yr",24-Nov-2020,"2,982 cc","70,380 km",Van
Honda Jazz 1.3A,"$72,988","$13,600 /yr",12-Feb-2019,"1,318 cc","80,000 km",Hatchback
Honda Fit Hybrid 1.5A F,"$83,988","$14,630 /yr",22-May-2019,"1,496 cc","62,000 km",Hatchback
Honda Freed Hybrid 1.5A G,"$141,800","$17,400 /yr",13-Sep-2021,"1,496 cc","32,055 km",MPV
